iter	Logloss
0	0.593660879
1	0.5342972028
2	0.4940940204
3	0.4703949538
4	0.4434268918
5	0.4304509651
6	0.4200802003
7	0.4035124224
8	0.3832294715
9	0.375783522
10	0.3679712051
11	0.3605387758
12	0.3523865797
13	0.3368429936
14	0.3280035075
15	0.3165844567
16	0.3108208024
17	0.3076174333
18	0.2999437886
19	0.2948657273
20	0.2910767132
21	0.2854802137
22	0.2801799986
23	0.2779130917
24	0.2745180766
25	0.2703575256
26	0.2694088702
27	0.2668314834
28	0.2650048878
29	0.2632548105
30	0.2585270962
31	0.2547374529
32	0.2517399006
33	0.2504635183
34	0.2495922133
35	0.2484109977
36	0.246761963
37	0.2457650642
38	0.2452271776
39	0.2431583885
40	0.2421518151
41	0.2414625465
42	0.2401768683
43	0.2387612038
44	0.2381506807
45	0.2369231403
46	0.236697581
47	0.2364378131
48	0.2360317251
49	0.2355343346
50	0.2345637683
51	0.2343639687
52	0.2341537341
53	0.2336345302
54	0.2334787157
55	0.2330275927
56	0.2328778755
57	0.2317646558
58	0.2310271546
59	0.230358619
60	0.2300473368
61	0.2289292845
62	0.2288489917
63	0.2284827695
64	0.2283534132
65	0.2282560608
66	0.2273431321
67	0.2272521462
68	0.2269498749
69	0.226862072
70	0.2265239162
71	0.226090016
72	0.2259830138
73	0.2256025524
74	0.225497977
75	0.2254075485
76	0.2253466649
77	0.2249538271
78	0.2247980338
79	0.2240857654
80	0.2238184434
81	0.2237626219
82	0.2233864444
83	0.2226116067
84	0.2224212786
85	0.2223536542
86	0.2212411125
87	0.2210553022
88	0.220757925
89	0.220476284
90	0.2204009161
91	0.2203467048
92	0.2202738421
93	0.2202287512
94	0.219970091
95	0.2197577304
96	0.2196252001
97	0.2195410093
98	0.2194839772
99	0.2194036215
