iter	Passed	Remaining
0	64	6418
1	109	5365
2	153	4949
3	195	4700
4	235	4478
5	277	4349
6	321	4275
7	367	4228
8	412	4167
9	451	4062
10	500	4052
11	542	3980
12	587	3934
13	632	3884
14	678	3845
15	722	3794
16	767	3746
17	814	3712
18	864	3685
19	908	3633
20	951	3580
21	994	3525
22	1034	3462
23	1076	3409
24	1117	3351
25	1164	3315
26	1207	3265
27	1252	3220
28	1300	3185
29	1342	3133
30	1388	3090
31	1436	3053
32	1481	3007
33	1523	2956
34	1660	3083
35	1749	3109
36	1790	3048
37	1835	2994
38	1876	2934
39	1921	2881
40	1964	2826
41	2004	2767
42	2045	2712
43	2089	2659
44	2134	2609
45	2181	2561
46	2224	2509
47	2272	2461
48	2322	2417
49	2363	2363
50	2404	2310
51	2445	2257
52	2488	2207
53	2532	2157
54	2575	2107
55	2619	2058
56	2667	2012
57	2709	1962
58	2755	1914
59	2800	1866
60	2841	1816
61	2885	1768
62	2928	1719
63	2981	1676
64	3027	1630
65	3068	1580
66	3112	1532
67	3151	1483
68	3195	1435
69	3236	1386
70	3280	1339
71	3326	1293
72	3370	1246
73	3415	1199
74	3457	1152
75	3501	1105
76	3542	1058
77	3587	1011
78	3627	964
79	3674	918
80	3716	871
81	3759	825
82	3805	779
83	3850	733
84	3897	687
85	3941	641
86	3986	595
87	4031	549
88	4078	504
89	4124	458
90	4165	412
91	4207	365
92	4246	319
93	4286	273
94	4328	227
95	4369	182
96	4410	136
97	4448	90
98	4490	45
99	4531	0
